Sample,X,Y,Z,Label
183,-0.12,-0.1,1.08,V
184,-0.05,-0.16,0.91,V
185,0.04,-0.12,0.87,V
186,-0.04,-0.07,0.91,V
187,-0.16,-0.09,1.09,V
188,-0.11,-0.06,1.02,V
189,0.02,-0.01,0.86,V
190,0.03,-0.07,0.77,V
191,-0.05,-0.03,0.89,V
192,-0.14,-0.02,1.08,V
193,-0.05,-0.12,1.02,V
194,0.01,-0.09,0.85,V
195,0.08,-0.13,0.76,V
196,-0.05,-0.13,0.96,V
197,-0.13,-0.03,1.02,V
198,-0.11,-0.1,1.06,V
199,0.04,0.02,0.82,V
200,0.04,-0.04,0.76,V
201,-0.07,0.0,0.89,V
202,-0.2,-0.03,1.13,V
203,-0.03,-0.05,0.87,V
204,0.04,-0.09,0.82,V
205,0.02,-0.1,0.93,V
206,-0.07,-0.0,0.9,V
207,-0.18,-0.12,1.14,V
208,-0.09,-0.08,1.02,V
209,-0.02,-0.04,0.92,V
210,0.06,-0.05,0.75,V
211,-0.05,-0.02,0.98,V
212,-0.11,-0.18,1.04,V
213,-0.08,-0.1,1.01,V
214,0.06,-0.06,0.99,V
215,0.04,-0.08,0.89,V
216,-0.03,-0.1,0.87,V
217,-0.11,-0.03,1.06,V
218,-0.09,-0.04,1.0,V
219,0.0,-0.05,0.85,V
220,0.0,-0.04,0.87,V
221,-0.0,-0.06,0.88,V
222,-0.18,-0.03,1.18,V
223,-0.13,-0.04,1.0,V
224,-0.03,-0.04,0.99,V
225,0.04,-0.11,0.81,V
226,0.04,-0.11,0.83,V
227,-0.01,-0.09,0.82,V
228,-0.16,-0.09,1.09,V
229,-0.17,-0.06,1.14,V
230,-0.01,-0.04,0.89,V
231,0.03,-0.06,0.77,V
232,-0.03,-0.02,0.94,V
233,-0.13,-0.09,1.08,V
234,-0.1,-0.12,0.98,V
235,0.01,-0.13,0.91,V
236,0.06,-0.09,0.82,V
237,0.05,-0.1,0.86,V
238,-0.14,-0.01,1.05,V
239,-0.18,-0.14,1.13,V
240,-0.06,-0.05,1.0,V
241,0.04,-0.01,0.77,V
242,0.0,-0.13,0.93,V
243,-0.15,-0.06,0.98,V
244,-0.11,-0.11,1.09,V
245,-0.02,-0.1,0.96,V
246,0.07,-0.03,0.79,V
247,0.04,-0.11,0.89,V
248,-0.09,-0.02,1.02,V
249,-0.1,-0.22,0.99,V
250,-0.09,-0.09,1.04,V
251,0.02,-0.1,0.83,V
252,0.02,-0.11,0.81,V
253,-0.04,-0.09,0.78,V
254,0.05,-0.06,0.7,V
255,-0.19,-0.07,1.2,V
256,-0.04,-0.13,0.89,V
257,0.09,-0.09,0.71,V
258,-0.05,-0.09,0.93,V
259,-0.14,-0.06,1.0,V
260,-0.16,-0.11,1.1,V
261,-0.02,-0.0,0.9,V
262,0.05,-0.1,0.77,V
263,-0.01,-0.05,0.85,V
264,-0.15,-0.01,1.07,V
265,-0.11,-0.01,1.03,V
266,-0.01,-0.04,0.91,V
267,0.04,-0.09,0.83,V
268,0.06,-0.09,0.81,V
269,-0.1,-0.02,1.01,V
270,-0.13,-0.14,1.03,V
271,-0.09,-0.03,1.04,V
272,0.02,0.01,0.82,V
273,-0.02,-0.04,0.84,V
274,-0.11,0.01,1.09,V
275,-0.13,0.01,1.05,V
276,-0.04,-0.04,0.99,V
277,0.04,-0.04,0.88,V
278,0.01,-0.11,0.81,V
279,-0.08,-0.09,1.03,V
280,-0.12,-0.06,1.02,V
281,-0.12,-0.1,1.04,V
282,0.0,-0.01,0.89,V
283,0.0,-0.1,0.81,V
284,-0.02,-0.03,0.78,V
285,-0.14,-0.06,1.09,V
286,-0.04,-0.14,0.96,V
287,0.03,-0.13,0.81,V
288,-0.01,-0.19,0.84,V
289,-0.14,-0.1,1.04,V
290,-0.18,-0.12,1.19,V
291,-0.07,-0.06,0.95,V
