X,Y,Z,Label
68,551,828,Z
90,527,831,Z
106,491,860,Z
113,447,851,Z
110,423,814,Z
118,393,836,Z
120,372,854,Z
135,338,883,Z
120,335,903,Z
114,343,892,Z
108,359,912,Z
147,352,867,Z
163,342,857,Z
188,287,889,Z
214,220,947,Z
217,166,982,Z
207,125,976,Z
185,139,976,Z
189,101,985,Z
201,95,1006,Z
210,92,986,Z
223,99,969,Z
234,100,968,Z
221,99,976,Z
227,76,1008,Z
258,39,1045,Z
282,-7,1067,Z
296,-46,1094,Z
298,-106,1150,Z
286,-96,1166,Z
281,-69,1170,Z
303,-46,1177,Z
308,-20,1146,Z
312,-11,1123,Z
308,2,1126,Z
318,-13,1120,Z
313,-19,1114,Z
315,-17,1042,Z
284,-8,994,Z
300,17,945,Z
342,2,949,Z
342,-1,985,Z
364,-3,1028,Z
345,-31,991,Z
358,-33,1078,Z
346,-85,1131,Z
345,-65,1116,Z
345,-74,1059,Z
386,-105,1033,Z
398,-68,1054,Z
413,-90,1054,Z
434,-107,1060,Z
399,-109,1074,Z
400,-105,1054,Z
389,-140,1048,Z
403,-155,1108,Z
410,-175,1143,Z
417,-182,1197,Z
422,-176,1143,Z
425,-185,1089,Z
428,-201,1013,Z
447,-227,967,Z
456,-252,941,Z
466,-283,875,Z
469,-271,833,Z
459,-340,891,Z
484,-372,935,Z
502,-336,965,Z
491,-288,957,Z
476,-273,924,Z
486,-291,903,Z
499,-275,946,Z
491,-253,952,Z
514,-255,955,Z
510,-258,963,Z
547,-261,1006,Z
539,-248,1039,Z
525,-199,1117,Z
516,-172,1197,Z
512,-216,1213,Z
579,-173,1250,Z
588,-78,1220,Z
564,-31,1157,Z
677,-17,1122,Z
725,26,1058,Z
701,162,993,Z
634,348,957,Z
566,491,985,Z
599,595,996,Z
575,665,1006,Z
560,711,1012,Z
533,744,999,Z
505,746,982,Z
541,750,913,Z
473,758,861,Z
456,794,828,Z
395,813,747,Z
376,854,828,Z
333,845,899,Z
284,796,901,Z
278,761,920,Z
236,718,901,Z
208,670,884,Z
204,642,879,Z
188,589,879,Z
172,564,847,Z
158,519,811,Z
141,467,816,Z
125,415,810,Z
134,385,836,Z
127,303,899,Z
132,238,934,Z
140,201,948,Z
156,187,1000,Z
176,159,1024,Z
178,133,1014,Z
169,140,982,Z
171,131,945,Z
171,127,915,Z
181,109,922,Z
216,69,911,Z
225,25,918,Z
213,18,937,Z
198,23,1017,Z
233,-11,1070,Z
241,-26,1042,Z
232,23,988,Z
248,68,955,Z
253,69,915,Z
270,102,920,Z
260,94,922,Z
252,82,959,Z
243,84,979,Z
239,88,1019,Z
245,40,1075,Z
275,-20,1146,Z
312,7,1168,Z
349,6,1149,Z
292,5,1075,Z
274,66,1005,Z
256,113,992,Z
248,113,1036,Z
264,108,1034,Z
245,135,1076,Z
242,176,1029,Z
242,222,1059,Z
219,186,1138,Z
235,170,1203,Z
241,209,1199,Z
215,208,1172,Z
185,237,1098,Z
189,263,1109,Z
218,246,1094,Z
212,273,1137,Z
183,411,913,Z
194,386,1106,Z
184,334,1117,Z
172,290,1122,Z
154,285,1148,Z
157,342,1114,Z
90,-426,946,Z
74,-446,947,Z
117,-506,952,Z
127,-544,970,Z
133,-563,982,Z
140,-564,950,Z
163,-532,981,Z
184,-555,997,Z
179,-562,1032,Z
200,-549,1047,Z
195,-536,1065,Z
192,-495,1116,Z
192,-470,1167,Z
205,-458,1199,Z
218,-434,1195,Z
229,-430,1181,Z
230,-380,1148,Z
236,-329,1107,Z
229,-288,1096,Z
325,-389,1057,Z
211,-216,1059,Z
223,-189,989,Z
200,-158,987,Z
178,-103,977,Z
