X,Y,Z,Label
539,304,745,V
533,323,742,V
520,319,699,V
519,330,677,V
516,333,661,V
505,351,647,V
500,348,643,V
492,348,689,V
494,352,719,V
482,337,735,V
484,357,758,V
502,359,770,V
514,364,801,V
538,379,850,V
553,381,888,V
564,396,923,V
582,416,956,V
597,449,1011,V
618,450,1066,V
649,457,1096,V
676,455,1109,V
676,451,1144,V
677,435,1141,V
665,417,1120,V
657,398,1153,V
633,389,1143,V
610,373,1113,V
594,370,1111,V
574,379,1068,V
573,400,1027,V
572,413,1019,V
585,406,994,V
578,370,981,V
567,328,964,V
546,295,939,V
509,259,923,V
485,258,937,V
495,266,907,V
483,278,938,V
476,258,935,V
466,229,932,V
447,205,919,V
433,203,910,V
434,182,929,V
442,165,948,V
424,148,975,V
426,123,952,V
405,91,1007,V
395,46,1034,V
385,21,1030,V
401,11,1015,V
417,4,1013,V
421,29,1009,V
447,53,982,V
453,70,996,V
443,73,1005,V
427,55,1014,V
399,39,985,V
358,-28,977,V
296,-128,967,V
258,-192,916,V
247,-237,855,V
239,-220,832,V
257,-159,785,V
322,-114,753,V
389,-96,888,V
388,-26,892,V
394,-36,870,V
347,-103,970,V
314,-192,972,V
259,-239,916,V
248,-256,895,V
269,-221,881,V
284,-164,850,V
315,-122,836,V
325,-126,860,V
326,-124,849,V
298,-156,841,V
285,-209,847,V
246,-283,833,V
234,-323,845,V
234,-356,806,V
266,-343,762,V
265,-270,690,V
266,-215,660,V
277,-154,630,V
271,-134,621,V
242,-147,593,V
198,-164,536,V
142,-244,556,V
80,-317,565,V
33,-364,601,V
-4,-356,640,V
-11,-328,700,V
1,-266,748,V
14,-243,780,V
17,-232,802,V
14,-224,797,V
5,-237,772,V
29,-245,790,V
38,-232,810,V
44,-209,851,V
68,-210,902,V
76,-200,941,V
95,-196,965,V
123,-179,979,V
145,-174,1006,V
165,-160,1029,V
189,-164,1010,V
192,-169,1000,V
199,-171,1010,V
205,-173,1050,V
215,-188,1084,V
225,-184,1095,V
223,-186,1080,V
212,-190,1066,V
201,-185,1056,V
193,-180,1049,V
199,-170,1039,V
